,pot,species,co2_lvl,water_lvl,ag_biomass,bg_biomass,rep_biomass,flowers_num,fruit_num,transplanted_w_leaf,transplanted_w_radicle,total_cnt,ag_biomass_m,total_biomass,log_total_biomass,water_low,water_fluct,water_high,treatment
169,100,VEAN,1,High,0.2451,0.3215,,,,10,0,10,0.02451,0.5666,-0.5681016915857209,0,0,1,CO2High_WH
170,136,VEAN,1,High,0.154,0.2407,,,,10,0,10,0.0154,0.3947,-0.9296292963133357,0,0,1,CO2High_WH
171,157,VEAN,1,High,0.3722,0.4842,,,,12,0,12,0.031016666666666665,0.8564,-0.15501772226660926,0,0,1,CO2High_WH
172,161,VEAN,1,High,0.2619,0.4241,,,,10,0,10,0.02619,0.6859999999999999,-0.3768776512562519,0,0,1,CO2High_WH
173,176,VEAN,1,High,0.1108,0.0991,,,,10,0,10,0.01108,0.20989999999999998,-1.5611240521555498,0,0,1,CO2High_WH
174,4,VEAN,1,Low,0.0853,0.2099,,,,10,0,10,0.00853,0.2952,-1.2201021862558195,1,0,0,CO2High_WL
175,16,VEAN,1,Low,0.2033,0.3516,,,,0,0,0,inf,0.5549000000000001,-0.5889673616502814,1,0,0,CO2High_WL
176,61,VEAN,1,Low,0.3625,0.2463,,,,0,0,0,inf,0.6088,-0.49626547243466096,1,0,0,CO2High_WL
177,86,VEAN,1,Low,0.2526,0.2667,,,,0,0,0,inf,0.5193,-0.6552735281318638,1,0,0,CO2High_WL
178,106,VEAN,1,Low,0.3923,0.5587,,,,10,0,10,0.03923,0.951,-0.05024121643674679,1,0,0,CO2High_WL
179,116,VEAN,1,Low,0.1091,0.1217,,,,0,0,0,inf,0.2308,-1.4662037443481926,1,0,0,CO2High_WL
